A,z1,z2,phi,lambda,spinodal,arrest
0.0,0.1,0.5,0.01,10.0,10.0,10.0
0.0,0.1,0.5,0.02,10.0,10.0,10.0
0.0,0.1,0.5,0.03,10.0,10.0,10.0
0.0,0.1,0.5,0.04,10.0,10.0,10.0
0.0,0.1,0.5,0.05,10.0,10.0,10.0
0.0,0.1,0.5,0.06,10.0,10.0,10.0
0.0,0.1,0.5,0.07,10.0,10.0,10.0
0.0,0.1,0.5,0.08,10.0,10.0,10.0
0.0,0.1,0.5,0.09,10.0,10.0,10.0
0.0,0.1,0.5,0.1,10.0,10.0,10.0
0.0,0.1,0.5,0.11,10.0,10.0,10.0
0.0,0.1,0.5,0.12,10.0,10.0,10.0
0.0,0.1,0.5,0.13,10.0,10.0,10.0
0.0,0.1,0.5,0.14,10.0,10.0,10.0
0.0,0.1,0.5,0.15,10.0,10.0,10.0
0.0,0.1,0.5,0.16,10.0,10.0,10.0
0.0,0.1,0.5,0.17,10.0,10.0,10.0
0.0,0.1,0.5,0.18,10.0,10.0,10.0
0.0,0.1,0.5,0.19,10.0,10.0,10.0
0.0,0.1,0.5,0.2,10.0,10.0,10.0
0.0,0.1,0.5,0.21,10.0,10.0,10.0
0.0,0.1,0.5,0.22,10.0,10.0,10.0
0.0,0.1,0.5,0.23,10.0,10.0,10.0
0.0,0.1,0.5,0.24,10.0,10.0,10.0
0.0,0.1,0.5,0.25,10.0,10.0,10.0
0.0,0.1,0.5,0.26,10.0,10.0,10.0
0.0,0.1,0.5,0.27,10.0,10.0,10.0
0.0,0.1,0.5,0.28,10.0,10.0,10.0
0.0,0.1,0.5,0.29,10.0,10.0,10.0
0.0,0.1,0.5,0.3,10.0,10.0,10.0
0.0,0.1,0.5,0.31,10.0,10.0,10.0
0.0,0.1,0.5,0.32,10.0,10.0,10.0
0.0,0.1,0.5,0.33,10.0,10.0,10.0
0.0,0.1,0.5,0.34,10.0,10.0,10.0
0.0,0.1,0.5,0.35,10.0,10.0,10.0
0.0,0.1,0.5,0.36,10.0,10.0,10.0
0.0,0.1,0.5,0.37,10.0,10.0,10.0
0.0,0.1,0.5,0.38,10.0,10.0,10.0
0.0,0.1,0.5,0.39,10.0,10.0,10.0
0.0,0.1,0.5,0.4,10.0,10.0,10.0
0.0,0.1,0.5,0.41,10.0,10.0,10.0
0.0,0.1,0.5,0.42,10.0,10.0,10.0
0.0,0.1,0.5,0.43,10.0,10.0,10.0
0.0,0.1,0.5,0.44,10.0,10.0,10.0
0.0,0.1,0.5,0.45,10.0,10.0,10.0
0.0,0.2,0.5,0.01,6.631613065291791,6.631613065291791,6.631613065291791
0.0,0.2,0.5,0.02,10.0,10.0,10.0
0.0,0.2,0.5,0.03,10.0,10.0,10.0
0.0,0.2,0.5,0.04,10.0,10.0,10.0
0.0,0.2,0.5,0.05,10.0,10.0,10.0
0.0,0.2,0.5,0.06,10.0,10.0,10.0
0.0,0.2,0.5,0.07,10.0,10.0,10.0
0.0,0.2,0.5,0.08,10.0,10.0,10.0
0.0,0.2,0.5,0.09,10.0,10.0,10.0
0.0,0.2,0.5,0.1,10.0,10.0,10.0
0.0,0.2,0.5,0.11,10.0,10.0,10.0
0.0,0.2,0.5,0.12,10.0,10.0,10.0
0.0,0.2,0.5,0.13,10.0,10.0,10.0
0.0,0.2,0.5,0.14,10.0,10.0,10.0
0.0,0.2,0.5,0.15,10.0,10.0,10.0
0.0,0.2,0.5,0.16,10.0,10.0,10.0
0.0,0.2,0.5,0.17,10.0,10.0,10.0
0.0,0.2,0.5,0.18,10.0,10.0,10.0
